"","Ranking.aktualnie","Nazwisko","Wiek","Kraj","Zrodlo.dochodww","Branza","Wartosc.majatku.w.tym.roku"
"1",2,"Jeff Bezos ",58,"United States","Amazon","Technology ","$112 B"
"2",4,"Bill Gates ",66,"United States","Microsoft","Technology ","$90 B"
"3",5,"Warren Buffett ",91,"United States","Berkshire Hathaway","Finance & Investments ","$84 B"
"4",15,"Mark Zuckerberg ",37,"United States","Facebook","Technology ","$71 B"
"5",23,"Amancio Ortega ",86,"Spain","Zara","Fashion & Retail ","$70 B"
"6",21,"Charles Koch ",86,"United States","Koch Industries","Diversified ","$60 B"
"7",8,"Larry Ellison ",77,"United States","software","Technology ","$58.5 B"
"8",12,"Michael Bloomberg ",80,"United States","Bloomberg LP","Media & Entertainment ","$50 B"
"9",6,"Larry Page ",49,"United States","Google","Technology ","$48.8 B"
"10",7,"Sergey Brin ",48,"United States","Google","Technology ","$47.5 B"
