"","rank","name","age","country","source","industry","2022","2021","2020","2019","2018","2017","2016","2015"
"1",1,"Elon Musk ",50,"United States","Tesla, SpaceX","Automotive ","$219 B","$151 B","$24.6 B",NA,"$19.9 B","$13.90 B","$10.70 B","$12.00 B"
"2",2,"Jeff Bezos ",58,"United States","Amazon","Technology ","$171 B","$177 B","$113 B","$135 B","$112 B","$72.80 B","$45.20 B","$34.80 B"
"3",3,"Bernard Arnault & family ",73,"France","LVMH","Fashion & Retail ","$158 B","$150 B","$76 B",NA,NA,NA,NA,NA
"4",4,"Bill Gates ",66,"United States","Microsoft","Technology ","$129 B","$124 B","$98 B","$97.7 B","$90 B","$86.00 B","$75.00 B","$79.20 B"
"5",5,"Warren Buffett ",91,"United States","Berkshire Hathaway","Finance & Investments ","$118 B","$96 B","$67.5 B","$82 B","$84 B","$75.60 B","$60.80 B","$72.70 B"
"6",6,"Larry Page ",49,"United States","Google","Technology ","$111 B","$91.5 B","$50.9 B","$56 B","$48.8 B","$40.70 B","$35.20 B","$29.70 B"
"7",7,"Sergey Brin ",48,"United States","Google","Technology ","$107 B","$89 B","$49.1 B","$54.4 B","$47.5 B","$39.80 B","$34.40 B","$29.20 B"
"8",8,"Larry Ellison ",77,"United States","software","Technology ","$106 B","$93 B","$59 B","$56.4 B","$58.5 B","$52.20 B","$43.60 B","$54.30 B"
"9",9,"Steve Ballmer ",66,"United States","Microsoft","Technology ","$91.4 B","$68.7 B","$52.7 B","$41.7 B","$38.4 B","$30.00 B","$23.50 B","$21.50 B"
"10",10,"Mukesh Ambani ",64,"India","diversified","Diversified ","$90.7 B","$84.5 B","$36.8 B","$50 B","$40.1 B","$23.20 B","$19.30 B","$21.00 B"
"11",11,"Gautam Adani & family ",59,"India","infrastructure, commodities","Diversified ","$90 B","$50.5 B",NA,NA,NA,NA,NA,NA
"12",12,"Michael Bloomberg ",80,"United States","Bloomberg LP","Media & Entertainment ","$82 B","$59 B","$48 B",NA,"$50 B","$47.50 B","$40.00 B","$35.50 B"
"13",13,"Carlos Slim Helu & family ",82,"Mexico","telecom","Telecom ","$81.2 B","$62.8 B","$52.1 B",NA,NA,NA,NA,NA
"14",14,"Francoise Bettencourt Meyers & family ",68,"France","L'Oréal","Fashion & Retail ","$74.8 B","$73.6 B","$48.9 B",NA,NA,NA,NA,NA
"15",15,"Mark Zuckerberg ",37,"United States","Facebook","Technology ","$67.3 B","$97 B","$54.7 B","$66.5 B","$71 B","$56.00 B","$44.60 B","$33.40 B"
"16",16,"Jim Walton ",73,"United States","Walmart","Fashion & Retail ","$66.2 B","$60.2 B","$54.6 B","$46.4 B","$46.4 B","$34.00 B","$33.60 B","$40.60 B"
"17",17,"Zhong Shanshan ",67,"China","beverages, pharmaceuticals","Food & Beverage ","$65.7 B","$68.9 B","$2 B",NA,NA,NA,NA,NA
"18",18,"Alice Walton ",72,"United States","Walmart","Fashion & Retail ","$65.3 B","$61.8 B","$54.4 B","$44.6 B","$46 B","$33.80 B","$32.30 B","$39.40 B"
"19",19,"Rob Walton ",77,"United States","Walmart","Fashion & Retail ","$65 B","$59.5 B","$54.1 B","$45.6 B",NA,NA,NA,NA
