"","Nazwisko","Wiek","Aktualne.miejsce.w.rankingu"
"1","Wybrany wiek:","58",NA
"2","Elon Musk ","50","1"
"3","Jeff Bezos ","58","2"
"4","Larry Page ","49","6"
"5","Sergey Brin ","48","7"
"6","Mark Zuckerberg ","37","15"
"7","Changpeng Zhao ","44","19"
"8","Michael Dell ","57","24"
"9","Zhang Yiming ","38","25"
"10","Robin Zeng ","53","29"
"11","MacKenzie Scott ","51","30"
"12","Rodolphe Saadé & family ","52","31"
"13","Ma Huateng ","50","34"
"14","Giovanni Ferrero ","57","36"
"15","Ken Griffin ","53","53"
"16","William Lei Ding ","50","55"
"17","Wang Wei ","51","56"
"18","Qin Yinglin ","56","59"
"19","Sam Bankman-Fried ","30","60"
"20","Li Shufu ","58","62"
"21","Emmanuel Besnier ","51","63"
"22","Guillaume Pousaz ","40","66"
"23","Jack Ma ","57","67"
"24","Stefan Quandt ","55","77"
"25","Huang Shilin ","55","79"
"26","Wang Chuanfu ","56","83"
"27","Yang Huiyan & family ","40","85"
"28","Fan Hongwei & family ","55","88"
"29","Wang Wenyin ","54","91"
"30","Renata Kellnerova & family ","54","104"
"31","Kumar Birla ","54","106"
"32","Lukas Walton ","35","106"
"33","Laurene Powell Jobs & family ","58","110"
"34","Xu Hang ","55","113"
"35","Wei Jianjun & family ","58","116"
"36","Mike Cannon-Brookes ","42","119"
"37","Wu Yajun ","58","119"
"38","Michael Platt ","54","121"
"39","Pavel Durov ","37","123"
"40","Scott Farquhar ","42","123"
"41","Dang Yanbao ","49","126"
"42","Robert Pera ","44","127"
"43","Liu Hanyuan ","58","134"
"44","Anders Holch Povlsen ","49","135"
"45","Gong Hongjia & family ","57","138"
"46","Alexey Mordashov ","56","138"
"47","Li Zhenguo & family ","54","142"
"48","Zhang Zhidong ","50","144"
"49","Chen Bang ","56","146"
"50","Mikhail Fridman ","57","161"
"51","Sarath Ratanavadi ","56","161"
"52","Lei Jun ","52","163"
"53","Brian Chesky ","40","167"
"54","Dustin Moskovitz ","37","167"
"55","Colin Zheng Huang ","42","173"
"56","Pierre Omidyar ","54","173"
"57","Andrey Melnichenko ","50","177"
"58","Xing Wang ","43","179"
"59","Alexander Otto ","54","180"
"60","Eduardo Saverin ","40","185"
"61","Richard Liu ","48","188"
"62","Chase Coleman, III. ","46","192"
