"","Nazwisko","Wiek","Aktualne.miejsce.w.rankingu"
"1","Wybrany wiek:","69",NA
"2","Bernard Arnault & family ","73","3"
"3","Warren Buffett ","91","5"
"4","Larry Ellison ","77","8"
"5","Michael Bloomberg ","80","12"
"6","Carlos Slim Helu & family ","82","13"
"7","Jim Walton ","73","16"
"8","Alice Walton ","72","18"
"9","Rob Walton ","77","19"
"10","Charles Koch ","86","21"
"11","Amancio Ortega ","86","23"
"12","Phil Knight & family ","84","27"
"13","Dieter Schwarz ","82","28"
"14","François Pinault & family ","85","32"
"15","Klaus-Michael Kuehne ","84","33"
"16","Li Ka-shing ","93","37"
"17","Stephen Schwarzman ","75","37"
"18","Lee Shau Kee ","94","39"
"19","Jacqueline Mars ","82","41"
"20","John Mars ","86","41"
"21","Alain Wertheimer ","73","43"
"22","Gerard Wertheimer ","71","43"
"23","Shiv Nadar ","76","47"
"24","Jim Simons ","83","48"
"25","He Xiangjian ","79","49"
"26","Miriam Adelson ","76","50"
"27","Dietrich Mateschitz ","77","51"
"28","Leonardo Del Vecchio & family ","86","52"
"29","Tadashi Yanai & family ","73","54"
"30","Cyrus Poonawalla ","80","56"
"31","Takemitsu Takizaki ","76","61"
"32","R. Budi Hartono ","81","64"
"33","Leonard Lauder ","89","65"
"34","Iris Fontbona & family ","79","67"
"35","Michael Hartono ","82","69"
"36","Ray Dalio ","72","71"
"37","Thomas Frist, Jr. & family ","83","73"
"38","Rupert Murdoch & family ","91","76"
"39","Thomas Peterffy ","77","80"
"40","Reinhold Wuerth & family ","86","84"
"41","Theo Albrecht, Jr. & family ","71","85"
"42","Lakshmi Mittal ","71","89"
"43","Savitri Jindal & family ","72","91"
"44","Li Xiting ","71","94"
"45","Stefan Persson ","74","94"
"46","Harold Hamm & family ","76","98"
"47","Peter Woo ","75","100"
"48","Gianluigi & Rafaela Aponte ","81","102"
"49","John Menard, Jr. ","82","104"
"50","Carl Icahn ","86","106"
"51","James Ratcliffe ","69","111"
"52","Donald Bren ","89","112"
