"","Kraj","Liczba.miliarderow.w.kraju","Aktualnie.najbogatszy.w.kraju"
"1","United States",719,"Elon Musk "
"2","China",515,"Zhong Shanshan "
"3","India",161,"Mukesh Ambani "
"4","Germany",130,"Dieter Schwarz "
"5","Russia",81,"Vladimir Lisin "
"6","Hong Kong",67,"Robin Zeng "
"7","Canada",64,"Rob Walton "
"8","Brazil",60,"Jorge Paulo Lemann & family "
"9","Italy",52,"Giovanni Ferrero "
"10","Taiwan",51,"Robert Kuok "
"11","United Kingdom",49,"James Ratcliffe "
"12","Sweden",45,"Li Xiting "
"13","Australia",44,"Gina Rinehart "
"14","France",43,"Bernard Arnault & family "
"15","South Korea",41,"Ivan Glasenberg "
"16","Switzerland",41,"Guillaume Pousaz "
"17","Japan",36,"Tadashi Yanai & family "
"18","Indonesia",30,"R. Budi Hartono "
"19","Israel",29,"Jorge Paulo Lemann & family "
"20","Thailand",28,"Dhanin Chearavanont "
"21","Spain",26,"Amancio Ortega "
"22","Singapore",25,"Li Xiting "
"23","Turkey",24,"Maria Fernanda Amorim & family "
"24","Philippines",18,"Carl Bennet "
"25","Malaysia",17,"Robert Kuok "
"26","Mexico",15,"Carlos Slim Helu & family "
"27","Norway",13,"Brian Armstrong "
"28","Austria",11,"Dietrich Mateschitz "
"29","Netherlands",11,"Charlene de Carvalho-Heineken & family "
"30","Czechia",9,"Renata Kellnerova & family "
"31","Ireland",9,"Pallonji Mistry "
"32","Denmark",8,"Joseph Lau "
"33","Chile",7,"Iris Fontbona & family "
"34","Finland",7,"Pyotr Aven "
"35","Poland",7,"Maria Asuncion Aramburuzabala & family "
"36","Vietnam",7,"Maria Asuncion Aramburuzabala & family "
"37","Argentina",6,"Hubert Burda "
"38","Egypt",6,"Bajaj siblings "
"39","Lebanon",6,"Cameron Adams "
"40","Ukraine",6,"Rinat Akhmetov "
"41","Kazakhstan",5,"Shari Arison "
"42","Romania",5,"Juan Abello "
"43","South Africa",5,"Ian & Richard Livingstone "
"44","Colombia",4,"Andrew Beal "
"45","Greece",4,"John Malone "
"46","Monaco",4,"Chase Coleman, III. "
"47","Belgium",3,"Ann Walton Kroenke "
"48","Cyprus",3,"John Fredriksen "
"49","New Zealand",3,"Graeme Hart "
"50","Nigeria",3,"Aliko Dangote "
"51","Peru",3,"James Chambers "
"52","United Arab Emirates",3,"Ben Ashkenazy "
"53","Bulgaria",2,"S. Daniel Abraham "
"54","Georgia",2,"Dona Bertarelli "
"55","Hungary",2,"Alberto Alcocer "
"56","Iceland",2,"Abdulla Al Futtaim & family "
"57","Morocco",2,"S. Daniel Abraham "
"58","Qatar",2,"Bill and Jean Adderley & family "
"59","Slovakia",2,"Noubar Afeyan "
"60","Uruguay",2,"Antti Aarnio-Wihuri "
"61","Algeria",1,"Robert Bass "
"62","Barbados",1,"Noubar Afeyan "
"63","Belize",1,"Danielle Bellon & family "
"64","Estonia",1,"Sanjay Agarwal "
"65","Eswatini (Swaziland)",1,"Denise Coates "
"66","Guernsey",1,"Abdulla Al Futtaim & family "
"67","Liechtenstein",1,"Houshan Bai "
"68","Macau",1,"Anu Aga "
"69","Nepal",1,"Antti Aarnio-Wihuri "
"70","Oman",1,"Abdulla Al Futtaim & family "
"71","Portugal",1,"Maria Fernanda Amorim & family "
"72","St. Kitts and Nevis",1,"Antti Aarnio-Wihuri "
"73","Tanzania",1,"Antti Aarnio-Wihuri "
"74","Venezuela",1,"Chen Kaixuan "
"75","Zimbabwe",1,"William Ackman "
