"","Nazwisko","Wiek","Branza","Najwiekszy.progres.majatku","Lata.miedzy.ktorymi.najbardziej.zwiekszyl.a.majatek","Najwiekszy.regres.majatku","Lata.miedzy.ktorymi.najbardziej.zmniejszyl.a.majatek"
"1","Elon Musk ",50,"Automotive ",126.4,"2020 - 2021",-1.3,"2015 - 2016"
"2","Bernard Arnault & family ",73,"Fashion & Retail ",74,"2020 - 2021",0,"2015 - 2016"
"3","Zhong Shanshan ",67,"Food & Beverage ",66.9,"2020 - 2021",-3.2,"2021 - 2022"
"4","Jeff Bezos ",58,"Technology ",64,"2020 - 2021",-22,"2019 - 2020"
"5","Changpeng Zhao ",44,"Finance & Investments ",63.1,"2021 - 2022",0,"2015 - 2016"
"6","Mukesh Ambani ",64,"Diversified ",47.7,"2020 - 2021",-13.2,"2019 - 2020"
"7","Daniel Gilbert ",60,"Finance & Investments ",45.4,"2020 - 2021",-29.9,"2021 - 2022"
"8","Mark Zuckerberg ",37,"Technology ",42.3,"2020 - 2021",-29.7,"2021 - 2022"
"9","Larry Page ",49,"Technology ",40.6,"2020 - 2021",-5.1,"2019 - 2020"
"10","Sergey Brin ",48,"Technology ",39.9,"2020 - 2021",-5.3,"2019 - 2020"
"11","Gautam Adani & family ",59,"Diversified ",39.5,"2021 - 2022",0,"2015 - 2016"
"12","Colin Zheng Huang ",42,"Technology ",38.8,"2020 - 2021",-44,"2021 - 2022"
"13","Larry Ellison ",77,"Technology ",34,"2020 - 2021",-10.7,"2015 - 2016"
"14","Rodolphe Saadé & family ",52,"Logistics ",30.5,"2021 - 2022",0,"2015 - 2016"
"15","Masayoshi Son ",64,"Telecom ",28.8,"2020 - 2021",-24.1,"2021 - 2022"
"16","Warren Buffett ",91,"Finance & Investments ",28.5,"2020 - 2021",-14.5,"2019 - 2020"
"17","Ma Huateng ",50,"Technology ",27.7,"2020 - 2021",-28.6,"2021 - 2022"
"18","Bill Gates ",66,"Technology ",26,"2020 - 2021",-4.2,"2015 - 2016"
"19","Francoise Bettencourt Meyers & family ",68,"Fashion & Retail ",24.7,"2020 - 2021",0,"2015 - 2016"
"20","Tadashi Yanai & family ",73,"Fashion & Retail ",24.4,"2020 - 2021",-18,"2021 - 2022"
"21","Wang Wei ",51,"Service ",23.8,"2020 - 2021",-14.7,"2021 - 2022"
"22","Michael Bloomberg ",80,"Media & Entertainment ",23,"2021 - 2022",2.5,"2017 - 2018"
"23","Steve Ballmer ",66,"Technology ",22.7,"2021 - 2022",3.3,"2018 - 2019"
"24","Michael Dell ",57,"Technology ",22.2,"2020 - 2021",-7.3,"2019 - 2020"
"25","Amancio Ortega ",86,"Fashion & Retail ",21.9,"2020 - 2021",-17.4,"2021 - 2022"
"26","Phil Knight & family ",84,"Fashion & Retail ",20.4,"2020 - 2021",-2.6,"2021 - 2022"
"27","Hui Ka Yan ",63,"Real Estate ",20.1,"2017 - 2018",-18.9,"2021 - 2022"
